temp_media,chuva,fds
20.18,0.0,0
24.04,0.0,0
26.24,0.0,0
21.26,3.0,1
19.62,0.0,1
23.12,27.2,0
20.56,0.0,0
25.2,0.0,1
19.46,0.0,0
21.04,3.6,0
15.48,0.0,1
26.5,2.0,0
20.96,0.0,0
21.94,0.0,0
21.74,31.0,0
16.28,2.2,0
27.3,0.0,0
24.74,0.0,0
18.72,0.1,0
14.18,0.0,1
19.98,0.0,1
23.28,6.8,0
23.62,0.0,0
23.98,1.2,1
17.78,0.0,0
21.24,0.0,0
25.96,1.6,0
18.36,0.0,0
22.72,0.0,0
24.16,0.0,1
20.5,13.4,0
20.62,0.0,1
22.24,2.0,0
20.88,0.0,0
22.4,20.8,0
12.9,4.4,1
23.96,0.0,0
21.1,0.0,1
23.12,0.1,1
23.18,0.0,1
21.52,0.0,0
20.56,0.0,0
22.28,0.0,0
24.6,43.0,0
16.1,0.4,0
20.74,0.0,0
23.24,0.0,0
21.74,0.0,1
16.28,5.6,1
27.66,0.0,0
23.34,94.8,1
21.8,0.0,0
25.24,0.0,0
18.26,0.0,1
16.66,0.0,0
28.0,0.0,1
22.52,0.0,1
19.7,1.7,1
23.68,0.0,0
19.04,0.8,1
16.04,0.5,0
16.82,2.0,1
16.14,0.0,0
16.48,0.0,1
16.2,0.0,0
24.0,0.0,0
22.6,0.0,0
20.2,0.0,1
24.1,34.4,0
23.32,0.0,0
21.2,14.6,0
22.38,17.4,1
23.86,0.0,0
24.0,13.6,1
24.0,0.0,0
28.26,0.0,1
18.54,0.0,0
19.76,0.0,0
16.12,2.4,1
22.76,85.3,0
19.78,0.0,1
21.28,0.0,0
22.98,4.4,0
21.06,0.0,0
18.3,1.2,1
21.44,0.0,1
20.26,0.0,0
28.86,0.0,1
16.1,2.6,0
21.16,0.0,0
17.46,0.0,1
24.0,0.0,0
22.88,12.2,1
21.52,6.8,0
16.46,0.2,0
20.06,2.4,0
18.08,0.0,1
16.72,0.0,0
19.96,1.0,0
23.58,39.0,0
17.2,0.0,0
19.66,0.0,1
20.32,0.0,0
14.72,1.0,0
22.16,0.0,0
20.32,3.0,1
14.52,0.0,0
22.48,0.0,1
17.38,7.1,0
23.7,0.0,1
23.14,1.0,0
24.42,0.0,0
19.02,0.0,0
17.68,7.2,0
22.5,18.6,0
14.0,27.6,1
21.22,27.2,0
26.16,0.0,0
20.1,0.0,1
21.18,0.0,0
16.2,0.0,0
25.66,4.0,0
24.8,0.1,1
16.8,0.0,0
16.72,0.0,0
14.54,3.8,0
21.58,0.0,0
21.78,3.2,0
18.26,0.0,0
22.76,0.0,0
22.2,69.2,1
17.2,1.6,0
24.72,0.0,0
20.58,28.6,1
19.82,0.0,0
22.0,0.1,0
22.52,0.0,0
25.4,0.0,0
19.86,0.0,0
20.54,0.0,0
22.5,0.0,1
20.22,27.2,1
18.68,0.4,0
16.76,0.1,1
21.44,0.0,0
19.94,0.0,1
21.64,7.4,0
24.3,0.0,0
19.6,0.0,0
22.14,0.0,1
21.36,0.0,0
17.8,0.0,0
24.44,0.0,1
24.54,12.2,1
23.32,0.0,0
19.88,0.0,0
21.38,6.3,0
17.52,17.8,0
23.78,0.0,0
27.68,0.6,0
25.5,14.1,0
24.32,0.0,1
19.24,0.0,0
18.92,0.0,0
21.64,0.2,1
28.12,0.0,0
20.86,0.0,0
21.42,37.2,0
18.66,0.0,0
26.28,2.0,0
19.8,0.0,0
20.1,0.0,0
17.08,23.6,0
17.18,0.0,1
16.6,0.0,0
22.36,0.0,1
25.52,0.8,0
16.88,31.8,0
21.7,0.0,0
22.26,0.0,1
20.46,0.0,0
20.42,0.0,0
21.16,0.0,1
21.26,25.4,0
21.82,39.6,0
22.12,3.2,0
21.2,0.0,0
20.26,0.0,0
23.74,1.3,1
17.86,22.2,0
17.52,0.0,1
18.56,1.8,0
14.94,15.2,1
20.88,14.7,1
22.8,0.0,0
18.46,0.0,1
20.28,25.0,1
17.32,0.0,1
18.04,0.0,1
15.26,0.0,0
27.46,3.0,0
19.18,0.0,1
21.68,10.3,0
22.94,0.0,0
16.02,0.0,0
19.4,0.0,0
22.76,0.0,1
25.86,3.0,0
23.72,10.4,0
25.96,0.0,0
26.56,0.0,0
23.16,1.6,0
27.62,3.4,1
24.54,0.0,0
22.22,13.4,0
18.64,0.0,0
26.3,0.0,0
19.88,0.0,0
19.26,0.0,1
23.36,0.0,1
20.12,0.0,0
22.34,0.0,0
19.14,0.0,0
17.94,0.0,0
24.72,3.4,0
20.96,7.6,0
20.86,28.4,0
16.84,0.0,0
22.64,0.0,0
23.06,8.0,1
19.92,0.0,1
16.22,0.0,0
25.68,4.9,0
19.88,19.2,0
22.52,0.0,0
26.14,0.0,0
20.04,47.8,0
15.82,0.0,1
19.36,0.0,0
21.4,2.4,0
22.3,1.8,1
22.4,0.0,1
22.08,0.0,0
18.46,0.0,0
18.14,9.9,0
24.0,20.2,0
21.92,38.2,1
18.92,0.6,0
16.28,25.0,0
25.0,0.0,0
22.08,0.3,1
23.12,9.7,0
21.04,0.0,0
21.7,0.0,0
22.98,0.0,0
